ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
120,,O,I,,F,T,L,S,,R,,,,,,,,,,,M,,P,I,A,,"iOS 14.5 or later, iPadOS 14.5 or later, macOS 11.3 or later and a Mac with Apple M1 chip or later",voice_aloud,Codeesteem,Voice Aloud Reader,"Voice Aloud Reader converts text documents, e-books, websites, and paper books into natural-sounding speech. It supports 40 languages and multiple text formats, making it useful for people with busy schedules or reading challenges. Users can adjust font size, reading mode, and modify pitch, volume, and speed to fit their preferences. The app also allows file sharing via iCloud or iTunes and is compatible with iPhone, iPod Touch, and iPad.",https://www.codeesteem.com/,"https://www.youtube.com/shorts/13Li7PxUqVM
https://www.youtube.com/watch?v=aQJBYRMjWag",,"Android coming soon (found on website)

No videos available online

I am not sure if hearing accessibility needs could be addressed by this tool",N/A,
121,,,I,,F,,,S,,,,,C,,,,P,S,,,,,P,I,,,IOS 13.0 and later,speakprose_cognixion,Cognixion,Speakprose 3,"SpeakProse 3 from Cognixion is a text-to-speech software that allows you to convert written text into spoken words, has the ability to assemble sentences naturally, it also acts as a keyboard. It uses eye-tracking, face and gaze tracking and the ability to personalize your own short phrases to quickly select and send them. Amazon's alexa is also built inside, the user can order groceries and control their home lights if they have alexa. ",https://www.cognixion.com/speakprose-3,https://youtu.be/Eseo9ynn-6E?feature=shared,,,,Mention that it comes with Alexa and can make sentences for a more natural conversation
122,,O,,,F,,,S,,,,,,,,,,S,,W,M,C,P,I,A,O,,coughdrop,CoughDrop AAC,Coughdrop,"Coughdrop is a cloud-based augmentative and alternative communication (AAC) app designed for people with speech impairments, offering customizable symbol-based communication boards.",https://www.coughdrop.com/,https://www.youtube.com/watch?v=ELNKXfvTDbA,,,,
123,,,I,,F,,,,,,,,,,,,P,,,,,,,,A,,Android 8.0 and up,crea_software_systems_ease_touch,CREA Software Systems,Ease Touch,"Ease Touch is an Android app that enables users to control their devices with a single finger. It captures all touches on the screen, distinguishes voluntary touches from non-voluntary ones, and allows users to perform most standard gestures, such as tap, double-tap, drag, swipe, and pinch. Users can also navigate back or home, open notifications, view running apps, zoom in/out, and scroll content easily.",https://play.google.com/store/apps/details?id=com.crea_si.ease_touch,https://youtu.be/_V-suBZurGg?si=vVNLg-wseeB_RAgB,,,There is no link to the vendor's website,"1. Remove ""even when they have dexterity problems""
2. Re-word the last sentence to make it more clear, for example you could write ""Users can also navigate back or home, open notifications, view running apps, zoom in/out, and scroll content easily.""
3. Find another video that goes more in depth into the functionalities of the app
4. Also check off ""Cognitive"" "
124,,,I,,,T,L,,,R,,,,V,B,,,,,,,,P,I,,,"iOS 13.0 or later, macOS 10.15 (Catalina) or later",creaceed_prizmo,Creaceed,Prizmo,"Prizmo is a scanning and Optical Character Recognition (OCR) software that transforms printed text into readable, editable, and spoken formats. With Prizmo, users can capture text from books, documents, or other printed materials using their device's camera. The software then recognizes the text, allowing users to edit it, save it in various formats, or have it read aloud. This feature is particularly beneficial for individuals with visual or reading difficulties, as it makes printed information more accessible.",https://creaceed.com/prizmo,https://youtu.be/QwskMU8m2PY?si=ZA0DSWYPNA7otQi5,,,,"Please replace ""imapairments"" in the description."
125,,,I,,,,L,S,,R,W,,,,,,,S,T,W,M,C,P,,,,"WIndows 10 and later
Mac Os :Big Sur (11) or newer. 
iPad specifications: iOS 15 or newer. 
Chromebook specifications: Chrome OS 86 or newer, with Google Drive enabled.",cricksoftware_clicker,Crick Software,Clicker,"Clicker Writing Solution is an educational software suite designed to support literacy and writing skills development in students, particularly those with learning disabilities, language delays, or emerging literacy skills. Clicker offers tools that assist with writing, reading, and communication, making it ideal for use in both mainstream and special education settings. It is available for desktop (Windows and Mac) as well as tablets, providing flexibility across devices.",https://www.cricksoft.com/us/clicker,https://www.cricksoft.com/us/training/clicker-training/tutorials,,,,"This is available for WIndows 10 and later, Mac Os :Big Sur (11) or newer.
iPad specifications: iOS 15 or newer.
Chromebook specifications: Chrome OS 86 or newer, with Google Drive enabled."
126,,,I,,,,,S,,,,,C,V,,,,,,,,,P,,,,ios 9 and later,cviconnect,CViConnect,CViConnect,"CVIConnect is a specialized digital tool designed for individuals with Cortical Visual Impairment (CVI). It helps adapt visual materials by adjusting contrast, complexity, and movement to match each person's CVI needs. The platform allows tracking of visual progress, creates custom learning materials, and connects parents and teachers to coordinate care. It also includes a resource library with CVI-specific guides and materials, making it a comprehensive support system for managing CVI care and education.",https://cviconnect.co/home/,https://youtu.be/lcYduMSou9c?si=Xw1jpb73-JgIoisx,,,,"1. add ""running iOS 9 or later "" (from website)"
127,,,I,,F,,,,,,,,,V,,,,,,W,M,C,P,I,A,,"Mac OS 10.14.6 or later
iPhone - iOS 15 or later
iPad - iOS 15 or later
",darkreader_contrast,Dark Reader Ltd,Dark Reader,"This eye-care extension enables night mode by creating dark themes for websites on the fly. Dark Reader inverts bright colors, making them high contrast and easy to read at night. You can adjust the brightness, contrast, sepia filter, dark mode, font settings and the ignore-list.",https://darkreader.org/,https://www.youtube.com/watch?v=849mznBKmIQ,,Works with androids who are able to add extentions to mobile browsing but having trouble finding exact minimum system requirements for Android,,"It's Free if it's a Chrome extension. Also, there is a system requirements for each of the platform."
128,,,I,,F,,,,,,,E,C,,,,,,,W,M,C,,,,,,screen_mask,David L Smith - not associated to any company,Screen Mask ,"Screen Mask is a Chrome extension designed to improve focus and reduce distractions while reading online. By masking out portions of a webpage that aren't currently being read, it helps users concentrate on the text directly in front of them.",https://sites.google.com/view/screenmaskplus/home,https://www.youtube.com/watch?v=dwsXv75QX5c,,,,"It is a Chrome extension, so it can be used with a Chrome browser on any device, not just a Chromebook."
129,,,I,,F,,,,,,,,C,,,,P,,,W,,,,,,,Windows 8.7.3,remote_keys,Detlev Schaefer,RemoteKeys,"RemoteKeys lets the user assign functions to different keystrokes. For example, inserting a text passage into a document or filling out forms with reoccuring phrases. RemoteKeys will automate complex control systems, but also simple jobs like inserting text passages into Word and EMails, filling out (internet-) forms with recurring phrases etc.

To do this simply click onto one of the 2500 buttons, which can be freely assigned and labeled. The macros can also be released by using the keyboard if preferred.

For those wishing to make full use of RemoteKeys, there are over 400 commands available, e.g. inserting the actual date into a text, opening program groups and ordering them on screen or even to automate Excel calculations.

The buttons may be assigned with the help of the integrated macro recorder and an integrated timer can activate these buttons. Additional features include an image memory and a clipboard history function.

RemoteKeys is always at hand in the system tray, can be individually configured (button-, form-, font sizes and colors), is network-able, offers database access and requires no installation. (Engl./Ger./French with manual).",https://www.softpedia.com/get/System/System-Miscellaneous/RemoteKeys.shtml,N/A,,,There is no Youtube video showing this tool.,"1. Check off ""Physical"" as well
2. Instead of saying an example of what the AT can do, include all the main functionalities and features
3. I also couldn't find a video"
130,,,I,,F,,,S,,,,,C,,,,P,,,W,M,,,I,A,,"Safari 12+ (ony editing, no voice dictation support)",dictanote,Dictanote,Dictanote,"Dictanote is a versatile notes app that includes integrated speech-to-text functionality, allowing users to dictate their notes in over 50 languages. This feature makes it easier to capture thoughts, ideas, and reminders through voice input, providing an efficient alternative to typing. The app supports a wide range of languages and is useful for users looking to quickly document information hands-free while maintaining flexibility in how they organize and manage their notes.",https://dictanote.co/,https://www.youtube.com/watch?v=PPdldGzu11U,,,,Dicatanote can also be used by people with physical disabilities like spinal cord injuries
131,,,I,,,T,L,,,R,,,,V,B,,,,,W,,,,,,,Windows 10 and up,dolphin_easyconverterexpress,Dolphin Computer Access,EasyConverter Express,EasyConverter Express converts Microsoft Word documents into a variety of formats so that they are accessible to people who are blind or low vision.,https://yourdolphin.com/EasyConverter-Express,https://www.youtube.com/watch?v=P_-Re_Qp_FM,,,,
132,,,I,,F,,,S,,R,,,c,V,B,,,,,W,M,C,P,I,A,,,dolphin_easyreader,Dolphin Computer Access,EasyReader,"EasyReader is a reading tool designed to make reading eBooks and digital publications. It provides features like text-to-speech, customizable display settings, and navigation tools to improve the reading experience on various devices.
",https://yourdolphin.com/EasyReader-App,"https://www.youtube.com/watch?v=cvf64QQ_Xn4
https://www.youtube.com/watch?v=pcKDwTPQnxg",,,,"- It is also available on the Amazon store (for those who use Kindle)
- Also available as Premium with personal and educational plan subscription options that lets users unlock more features. The educational plan helps special education teachers make parts of the curriculum more accessible.
- There is also a video on the website itself."
133,,,I,,,T,L,,,R,,,,V,,,,,,W,,,,,,,Windows 10 and up,dolphin_guideconnect,Dolphin Computer Access,GuideConnect,"With Dolphin GuideConnect, you can compose and read email, capture and scan documents, access books and entertainments, make video calls, and more. The application itself uses large print text with high contrast colors to help those who have low vision or might be losing their sight.",https://yourdolphin.com/GuideConnect,https://www.youtube.com/watch?v=AAy3-IWzsYg,,,,
134,,,I,,,T,L,,,R,,,,V,B,,,,,W,,,,,,,Windows 8.1 and up,dolphin_publisher,Dolphin Computer Access,Publisher,"Dolphin Publisher is a software that creates talking books using text files and generates human-sounding speech. You can also customize it to your needs by adding visuals, images and navigation. ",https://yourdolphin.com/Publisher,https://www.youtube.com/watch?v=HPsTxpv_WqQ,,,,I believe this tool is for reading and hearing since it was made to create digital books and help users listen to audiobooks with many customizable features. Works with Windows 8.1 and up.
135,,,I,,,T,L,,,,,,,V,B,,,,,W,,,,,,,Windows 8.1 and up ,dolphin_screenreader,Dolphin Computer Access,ScreenReader,"Dolphin ScreenReader is a screen reader for Windows that assists users who are blind or low-vision in using a Windows computer.  It reads out loud the text on the screen, like menus, documents, and websites. You can control Dophin using keyboard shortcuts to move around, select items, or enter text, and it provides spoken feedback or braille output if you're using a braille display. It's customizable, so you can change how fast it speaks, and more.",https://yourdolphin.com/ScreenReader,https://www.youtube.com/watch?v=DxLNoUyWU2k&t=3s,,,,I found a shorter video for screen reader on the vendors website https://youtu.be/DxLNoUyWU2k  . Screen reader works with Windows 8.1 and up. Screen reader also includes braille support so I think that should be included in the description as well.
